task_id,batch_time,samples_in_batch
batch_0_0,15.933829307556152,8
batch_0_1,13.971697568893433,8
batch_0_2,14.415607690811157,8
batch_0_3,13.615904092788696,8
batch_0_4,16.270333528518677,8
batch_0_5,14.420615673065186,8
batch_0_6,13.840017795562744,8
batch_0_7,14.119745254516602,8
batch_0_8,17.453028917312622,8
batch_0_9,17.42945647239685,8
batch_0_10,16.620387077331543,8
batch_0_11,17.779502153396606,8
batch_0_12,14.30937671661377,8
batch_0_13,17.121764659881592,8
batch_0_14,17.761324405670166,8
batch_0_15,16.92196822166443,8
batch_0_16,19.11093759536743,8
batch_0_17,15.347352743148804,8
batch_0_18,15.255796909332275,8
batch_0_19,16.924670457839966,8
batch_0_20,9.68558382987976,4
batch_1_0,13.455331563949585,8
batch_1_1,13.912816762924194,8
batch_1_2,14.40663480758667,8
batch_1_3,13.602761268615723,8
batch_1_4,16.255221843719482,8
batch_1_5,14.425686597824097,8
batch_1_6,13.817537546157837,8
batch_1_7,14.103347539901733,8
batch_1_8,17.42367959022522,8
batch_1_9,17.423253774642944,8
batch_1_10,16.61751413345337,8
batch_1_11,17.77121663093567,8
batch_1_12,14.298388004302979,8
batch_1_13,17.116225719451904,8
batch_1_14,17.75902485847473,8
batch_1_15,16.92188787460327,8
batch_1_16,19.114208221435547,8
batch_1_17,15.352748394012451,8
batch_1_18,15.261452198028564,8
batch_1_19,16.927714347839355,8
batch_1_20,9.684889554977417,4
batch_2_0,13.457101106643677,8
batch_2_1,13.916754722595215,8
batch_2_2,14.4115309715271,8
batch_2_3,13.600159406661987,8
batch_2_4,16.25837755203247,8
batch_2_5,14.41953158378601,8
batch_2_6,13.816548109054565,8
batch_2_7,14.091766119003296,8
batch_2_8,17.428748607635498,8
batch_2_9,17.432502031326294,8
batch_2_10,16.62209439277649,8
batch_2_11,17.77350902557373,8
batch_2_12,14.306884288787842,8
batch_2_13,17.126641750335693,8
batch_2_14,17.76409149169922,8
batch_2_15,16.93718385696411,8
batch_2_16,19.128324508666992,8
batch_2_17,15.369287252426147,8
batch_2_18,15.275952816009521,8
batch_2_19,16.93851375579834,8
batch_2_20,9.695305109024048,4
batch_3_0,13.463070392608643,8
batch_3_1,13.915442705154419,8
batch_3_2,14.40293836593628,8
batch_3_3,13.606075048446655,8
batch_3_4,16.262662887573242,8
batch_3_5,14.427017211914062,8
batch_3_6,13.817909717559814,8
batch_3_7,14.088997840881348,8
batch_3_8,17.427720546722412,8
batch_3_9,17.424869537353516,8
batch_3_10,16.620365858078003,8
batch_3_11,17.775065898895264,8
batch_3_12,14.311464309692383,8
batch_3_13,17.12474775314331,8
batch_3_14,17.772616386413574,8
batch_3_15,16.93213438987732,8
batch_3_16,19.124486207962036,8
batch_3_17,15.359909057617188,8
batch_3_18,15.255085945129395,8
batch_3_19,16.925811290740967,8
batch_3_20,9.676557540893555,4
batch_4_0,13.450279951095581,8
batch_4_1,13.915680885314941,8
batch_4_2,14.405815839767456,8
batch_4_3,13.60111689567566,8
batch_4_4,16.25424289703369,8
batch_4_5,14.41670823097229,8
batch_4_6,13.809298515319824,8
batch_4_7,14.083129405975342,8
batch_4_8,17.420209407806396,8
batch_4_9,17.422324657440186,8
batch_4_10,16.614407300949097,8
batch_4_11,17.76435923576355,8
batch_4_12,14.301555633544922,8
batch_4_13,17.116285800933838,8
batch_4_14,17.75709295272827,8
batch_4_15,16.923792600631714,8
batch_4_16,19.11701536178589,8
batch_4_17,15.348360300064087,8
batch_4_18,15.256118535995483,8
batch_4_19,16.926385641098022,8
batch_4_20,9.687550783157349,4
batch_5_0,13.452483415603638,8
batch_5_1,13.921021223068237,8
batch_5_2,14.402728796005249,8
batch_5_3,13.596648454666138,8
batch_5_4,16.262051582336426,8
batch_5_5,14.415801048278809,8
batch_5_6,13.808503866195679,8
batch_5_7,14.086239337921143,8
batch_5_8,17.41918969154358,8
batch_5_9,17.42071557044983,8
batch_5_10,16.61623525619507,8
batch_5_11,17.762911558151245,8
batch_5_12,14.298115253448486,8
batch_5_13,17.114097595214844,8
batch_5_14,17.761444091796875,8
batch_5_15,16.922321319580078,8
batch_5_16,19.117051124572754,8
batch_5_17,15.347858428955078,8
batch_5_18,15.256591081619263,8
batch_5_19,16.927008152008057,8
batch_5_20,9.67998743057251,4
batch_6_0,13.453022003173828,8
batch_6_1,13.914151430130005,8
batch_6_2,14.400291204452515,8
batch_6_3,13.604840993881226,8
batch_6_4,16.259855031967163,8
batch_6_5,14.420025825500488,8
batch_6_6,13.805824279785156,8
batch_6_7,14.082887649536133,8
batch_6_8,17.41812229156494,8
batch_6_9,17.42322087287903,8
batch_6_10,16.62748098373413,8
batch_6_11,17.781190156936646,8
batch_6_12,14.3108389377594,8
batch_6_13,17.123475313186646,8
batch_6_14,17.77123785018921,8
batch_6_15,16.93011999130249,8
batch_6_16,19.123509407043457,8
batch_6_17,15.353670597076416,8
batch_6_18,15.258362054824829,8
batch_6_19,16.936320066452026,8
batch_6_20,9.691667318344116,4
batch_7_0,13.453399658203125,8
batch_7_1,13.915377140045166,8
batch_7_2,14.399449110031128,8
batch_7_3,13.597085237503052,8
batch_7_4,16.24734854698181,8
batch_7_5,14.411100625991821,8
batch_7_6,13.807723999023438,8
batch_7_7,14.080278873443604,8
batch_7_8,17.415099143981934,8
batch_7_9,17.411826848983765,8
batch_7_10,16.61334776878357,8
batch_7_11,17.762835264205933,8
batch_7_12,14.298347234725952,8
batch_7_13,17.114151000976562,8
batch_7_14,17.75979208946228,8
batch_7_15,16.925066232681274,8
batch_7_16,19.11124849319458,8
batch_7_17,15.345799207687378,8
batch_7_18,15.251402854919434,8
batch_7_19,16.922600507736206,8
batch_7_20,9.677085876464844,4
batch_8_0,13.45197868347168,8
batch_8_1,13.908937692642212,8
batch_8_2,14.40486216545105,8
batch_8_3,13.600594758987427,8
batch_8_4,16.25620412826538,8
batch_8_5,14.417463302612305,8
batch_8_6,13.818505048751831,8
