task_id,batch_time,samples_in_batch
batch_0_0,266.98519945144653,8
batch_0_1,292.30095052719116,8
batch_0_2,332.50204396247864,8
batch_0_3,271.6170024871826,8
batch_0_4,457.4470753669739,8
batch_0_5,333.8860013484955,8
batch_0_6,289.3780219554901,8
batch_0_7,303.00765895843506,8
batch_0_8,533.6978092193604,8
batch_0_9,533.7332153320312,8
batch_0_10,471.3775818347931,8
batch_0_11,550.2112472057343,8
batch_0_12,322.47407841682434,8
batch_0_13,511.7256848812103,8
batch_0_14,548.9699604511261,8
batch_0_15,498.1011815071106,8
batch_0_16,646.8226010799408,8
batch_0_17,392.6716809272766,8
batch_0_18,388.2861566543579,8
batch_0_19,499.50814747810364,8
batch_0_20,193.55615973472595,4
batch_1_0,265.9250271320343,8
batch_1_1,292.1428699493408,8
batch_1_2,332.2473063468933,8
batch_1_3,271.31084752082825,8
batch_1_4,457.27203726768494,8
batch_1_5,333.79159021377563,8
batch_1_6,289.4831850528717,8
batch_1_7,303.1834647655487,8
batch_1_8,533.5908255577087,8
batch_1_9,533.4059743881226,8
batch_1_10,471.22469902038574,8
batch_1_11,550.1582283973694,8
batch_1_12,322.59059596061707,8
batch_1_13,512.0140521526337,8
batch_1_14,549.4410247802734,8
batch_1_15,498.5582625865936,8
batch_1_16,646.9900398254395,8
batch_1_17,392.80428433418274,8
batch_1_18,388.3792448043823,8
batch_1_19,499.4853141307831,8
batch_1_20,193.58567833900452,4
batch_2_0,266.051903963089,8
batch_2_1,292.2511670589447,8
batch_2_2,332.74204444885254,8
batch_2_3,271.78490805625916,8
batch_2_4,457.7504005432129,8
batch_2_5,333.92658162117004,8
batch_2_6,289.50352931022644,8
batch_2_7,303.24093198776245,8
batch_2_8,534.1268558502197,8
batch_2_9,534.2354257106781,8
batch_2_10,471.97787642478943,8
batch_2_11,550.9671120643616,8
batch_2_12,322.791531085968,8
batch_2_13,512.1004128456116,8
batch_2_14,549.1350846290588,8
batch_2_15,498.28965735435486,8
batch_2_16,646.981404542923,8
batch_2_17,392.66822600364685,8
batch_2_18,388.36306285858154,8
batch_2_19,499.41412830352783,8
batch_2_20,193.48840141296387,4
batch_3_0,265.9192223548889,8
batch_3_1,292.34517002105713,8
batch_3_2,332.7755722999573,8
batch_3_3,271.822190284729,8
batch_3_4,458.0835180282593,8
batch_3_5,334.19823956489563,8
batch_3_6,289.6259741783142,8
batch_3_7,303.4021120071411,8
batch_3_8,534.2612297534943,8
batch_3_9,534.3578343391418,8
batch_3_10,471.977251291275,8
batch_3_11,551.2139501571655,8
batch_3_12,322.9332649707794,8
batch_3_13,512.230987071991,8
batch_3_14,549.5788481235504,8
batch_3_15,498.38182163238525,8
batch_3_16,646.7155663967133,8
batch_3_17,392.6074514389038,8
batch_3_18,388.42366194725037,8
batch_3_19,499.8424770832062,8
batch_3_20,193.6942274570465,4
batch_4_0,265.84426617622375,8
batch_4_1,292.0459945201874,8
batch_4_2,332.286794424057,8
batch_4_3,271.3742485046387,8
batch_4_4,457.1800274848938,8
batch_4_5,333.5600528717041,8
batch_4_6,289.21834421157837,8
batch_4_7,302.89251613616943,8
batch_4_8,533.5318958759308,8
batch_4_9,533.7941076755524,8
batch_4_10,471.5568096637726,8
batch_4_11,550.4201030731201,8
batch_4_12,322.77788400650024,8
batch_4_13,511.9761700630188,8
batch_4_14,549.6435730457306,8
batch_4_15,498.27458024024963,8
batch_4_16,646.3145458698273,8
batch_4_17,392.1744964122772,8
batch_4_18,388.1265230178833,8
batch_4_19,499.30760383605957,8
batch_4_20,193.44974207878113,4
batch_5_0,265.7887501716614,8
batch_5_1,292.133900642395,8
batch_5_2,332.2636499404907,8
batch_5_3,271.4420340061188,8
batch_5_4,457.43994998931885,8
batch_5_5,333.7422561645508,8
batch_5_6,289.3923132419586,8
batch_5_7,303.15256333351135,8
batch_5_8,533.9557976722717,8
batch_5_9,533.7673013210297,8
batch_5_10,471.59408617019653,8
batch_5_11,550.8178834915161,8
batch_5_12,322.71501445770264,8
batch_5_13,512.0252408981323,8
batch_5_14,549.3939385414124,8
batch_5_15,498.08525800704956,8
batch_5_16,646.9613788127899,8
batch_5_17,392.5758035182953,8
batch_5_18,388.37165927886963,8
batch_5_19,499.9202573299408,8
batch_5_20,193.61632108688354,4
batch_6_0,265.912850856781,8
batch_6_1,292.1713309288025,8
batch_6_2,332.411714553833,8
batch_6_3,271.65568685531616,8
batch_6_4,457.7080407142639,8
batch_6_5,333.9970920085907,8
batch_6_6,289.6165015697479,8
batch_6_7,303.2563283443451,8
batch_6_8,534.1897203922272,8
batch_6_9,534.2360451221466,8
batch_6_10,471.8154275417328,8
batch_6_11,550.9657390117645,8
batch_6_12,322.6129970550537,8
batch_6_13,512.1069841384888,8
batch_6_14,549.4845604896545,8
batch_6_15,498.2842688560486,8
batch_6_16,647.2607786655426,8
batch_6_17,393.32127594947815,8
batch_6_18,388.44724130630493,8
batch_6_19,499.9346077442169,8
batch_6_20,193.6505537033081,4
batch_7_0,266.1718680858612,8
batch_7_1,292.342613697052,8
batch_7_2,332.62180852890015,8
batch_7_3,271.61702728271484,8
batch_7_4,457.5192267894745,8
batch_7_5,333.87326741218567,8
batch_7_6,289.4675781726837,8
batch_7_7,303.33622455596924,8
batch_7_8,534.0000872612,8
batch_7_9,533.8822243213654,8
batch_7_10,471.57371044158936,8
batch_7_11,550.4115278720856,8
batch_7_12,322.5079884529114,8
batch_7_13,512.036408662796,8
batch_7_14,549.5326642990112,8
batch_7_15,498.6843423843384,8
batch_7_16,647.4171850681305,8
batch_7_17,392.82582211494446,8
batch_7_18,388.72459387779236,8
batch_7_19,499.80029034614563,8
batch_7_20,193.6897349357605,4
batch_8_0,265.9654109477997,8
batch_8_1,292.1640114784241,8
batch_8_2,332.4539954662323,8
batch_8_3,271.68807673454285,8
batch_8_4,457.5603783130646,8
batch_8_5,333.8469171524048,8
batch_8_6,289.50577759742737,8
batch_8_7,303.09043169021606,8
batch_8_8,533.7570185661316,8
batch_8_9,533.8994920253754,8
batch_8_10,471.63310146331787,8
batch_8_11,550.7308366298676,8
batch_8_12,322.5818178653717,8
batch_8_13,512.0406286716461,8
batch_8_14,549.6674036979675,8
batch_8_15,498.5400993824005,8
batch_8_16,647.0381002426147,8
batch_8_17,392.67463850975037,8
batch_8_18,388.6523747444153,8
batch_8_19,499.68559217453003,8
batch_8_20,193.46889281272888,4
batch_9_0,266.08595633506775,8
batch_9_1,292.56414580345154,8
batch_9_2,332.55333280563354,8
batch_9_3,271.6937937736511,8
batch_9_4,457.89896059036255,8
batch_9_5,334.1014516353607,8
batch_9_6,289.70702147483826,8
batch_9_7,303.6247527599335,8
batch_9_8,534.5599136352539,8
batch_9_9,534.4434771537781,8
batch_9_10,471.91805768013,8
batch_9_11,550.5804724693298,8
batch_9_12,322.8392481803894,8
batch_9_13,512.3558146953583,8
batch_9_14,549.4055616855621,8
batch_9_15,498.23720502853394,8
batch_9_16,646.7207982540131,8
batch_9_17,392.4494342803955,8
batch_9_18,388.2765336036682,8
batch_9_19,499.63929057121277,8
batch_9_20,193.55967903137207,4
batch_10_0,266.0286953449249,8
batch_10_1,292.26502561569214,8
batch_10_2,332.3595907688141,8
batch_10_3,271.4477696418762,8
batch_10_4,457.35409665107727,8
batch_10_5,333.79756355285645,8
batch_10_6,289.3797838687897,8
batch_10_7,303.09701323509216,8
batch_10_8,533.302827835083,8
batch_10_9,533.9666693210602,8
batch_10_10,471.6416461467743,8
batch_10_11,550.6942067146301,8
batch_10_12,322.6790292263031,8
batch_10_13,511.8136742115021,8
batch_10_14,549.2008082866669,8
batch_10_15,498.1965482234955,8
batch_10_16,647.3778626918793,8
batch_10_17,392.6420729160309,8
batch_10_18,388.5966818332672,8
batch_10_19,499.470988035202,8
batch_10_20,193.62612175941467,4
batch_11_0,266.02860975265503,8
batch_11_1,292.308393239975,8
batch_11_2,332.6120185852051,8
batch_11_3,271.7006723880768,8
batch_11_4,457.5895767211914,8
batch_11_5,334.0454773902893,8
batch_11_6,289.6192297935486,8
batch_11_7,305.0952570438385,8
batch_11_8,534.0038690567017,8
batch_11_9,534.0239615440369,8
batch_11_10,471.55120825767517,8
batch_11_11,550.4398529529572,8
batch_11_12,322.67436838150024,8
batch_11_13,511.95789885520935,8
batch_11_14,549.3367245197296,8
batch_11_15,498.1684865951538,8
batch_11_16,646.8762576580048,8
batch_11_17,392.5171926021576,8
batch_11_18,388.20332646369934,8
batch_11_19,499.28086495399475,8
batch_11_20,193.3591911792755,4
batch_12_0,265.78178691864014,8
batch_12_1,291.87231731414795,8
batch_12_2,332.28798961639404,8
batch_12_3,271.34715390205383,8
batch_12_4,457.52413272857666,8
batch_12_5,333.41576886177063,8
batch_12_6,289.1051163673401,8
batch_12_7,302.6890769004822,8
batch_12_8,532.9637384414673,8
batch_12_9,533.0533678531647,8
batch_12_10,471.2477476596832,8
batch_12_11,550.2730159759521,8
batch_12_12,322.27354168891907,8
batch_12_13,511.7912976741791,8
batch_12_14,549.2346744537354,8
batch_12_15,498.1937630176544,8
batch_12_16,646.6285676956177,8
batch_12_17,392.1803147792816,8
batch_12_18,388.09541058540344,8
batch_12_19,499.1257367134094,8
batch_12_20,193.38238215446472,4
batch_13_0,265.6993713378906,8
batch_13_1,291.82661986351013,8
batch_13_2,332.2041959762573,8
batch_13_3,271.55240178108215,8
batch_13_4,457.0236964225769,8
batch_13_5,333.75493144989014,8
batch_13_6,289.252699136734,8
batch_13_7,303.00550723075867,8
batch_13_8,533.6382098197937,8
batch_13_9,533.8334510326385,8
batch_13_10,471.3445954322815,8
batch_13_11,550.2728538513184,8
batch_13_12,322.47897458076477,8
batch_13_13,511.6413767337799,8
