task_id,batch_time,samples_in_batch
batch_0_0,15.320148944854736,8
batch_0_1,12.821824789047241,8
batch_0_2,13.020845413208008,8
batch_0_3,12.774440050125122,8
batch_0_4,13.390563249588013,8
batch_0_5,12.753355741500854,8
batch_0_6,12.386532545089722,8
batch_0_7,13.006364345550537,8
batch_0_8,13.307839393615723,8
batch_0_9,14.29622745513916,8
batch_0_10,13.702653884887695,8
batch_0_11,13.447910785675049,8
batch_0_12,13.014433145523071,8
batch_0_13,13.423687219619751,8
batch_0_14,13.497110366821289,8
batch_0_15,13.092525482177734,8
batch_0_16,14.374497175216675,8
batch_0_17,12.841394186019897,8
batch_0_18,13.15625286102295,8
batch_0_19,12.689677953720093,8
batch_0_20,12.265329599380493,4
batch_1_0,12.13040828704834,8
batch_1_1,12.775176048278809,8
batch_1_2,12.744571208953857,8
batch_1_3,12.600176811218262,8
batch_1_4,13.483418464660645,8
batch_1_5,12.409139394760132,8
batch_1_6,12.942338228225708,8
batch_1_7,12.429880857467651,8
batch_1_8,14.80417013168335,8
batch_1_9,13.937787532806396,8
batch_1_10,12.841405868530273,8
batch_1_11,13.729145288467407,8
batch_1_12,12.523712158203125,8
batch_1_13,13.603575468063354,8
batch_1_14,13.519198417663574,8
batch_1_15,13.532325744628906,8
batch_1_16,13.898062705993652,8
batch_1_17,12.91159200668335,8
batch_1_18,13.364400863647461,8
batch_1_19,13.180172443389893,8
batch_1_20,12.583209037780762,4
batch_2_0,11.847894668579102,8
batch_2_1,13.0521080493927,8
batch_2_2,12.49695897102356,8
batch_2_3,12.723118782043457,8
batch_2_4,12.686898946762085,8
batch_2_5,12.673373460769653,8
batch_2_6,12.494441747665405,8
batch_2_7,12.25570034980774,8
batch_2_8,13.727797269821167,8
batch_2_9,13.176323890686035,8
batch_2_10,13.561249256134033,8
batch_2_11,13.554795026779175,8
batch_2_12,13.124621868133545,8
batch_2_13,13.008073091506958,8
batch_2_14,13.613296031951904,8
batch_2_15,13.708999633789062,8
batch_2_16,14.037568807601929,8
batch_2_17,15.049866676330566,8
batch_2_18,12.820270776748657,8
batch_2_19,13.494057416915894,8
batch_2_20,12.190314531326294,4
batch_3_0,12.330061435699463,8
batch_3_1,12.983090162277222,8
batch_3_2,12.258421897888184,8
batch_3_3,13.926302194595337,8
batch_3_4,12.631166696548462,8
batch_3_5,13.089638233184814,8
batch_3_6,12.179304838180542,8
batch_3_7,12.88904333114624,8
batch_3_8,13.158966302871704,8
batch_3_9,13.470051288604736,8
batch_3_10,13.42655634880066,8
batch_3_11,14.395063161849976,8
batch_3_12,13.48033356666565,8
batch_3_13,13.540164947509766,8
batch_3_14,13.676830530166626,8
batch_3_15,12.771028757095337,8
batch_3_16,14.236915349960327,8
batch_3_17,12.317893981933594,8
batch_3_18,13.385676860809326,8
batch_3_19,13.508810758590698,8
batch_3_20,12.370380163192749,4
batch_4_0,12.62612271308899,8
batch_4_1,12.961519956588745,8
batch_4_2,12.82876443862915,8
batch_4_3,13.58204960823059,8
batch_4_4,15.483631372451782,8
batch_4_5,12.681611061096191,8
batch_4_6,13.008421659469604,8
batch_4_7,12.451647281646729,8
batch_4_8,13.523142337799072,8
batch_4_9,13.81083369255066,8
batch_4_10,13.525543451309204,8
batch_4_11,14.782539367675781,8
batch_4_12,11.88419771194458,8
batch_4_13,13.429941415786743,8
batch_4_14,13.78066897392273,8
batch_4_15,15.475528955459595,8
batch_4_16,13.996084451675415,8
batch_4_17,12.527598857879639,8
batch_4_18,14.114588975906372,8
batch_4_19,14.051395893096924,8
batch_4_20,12.087717533111572,4
batch_5_0,12.096425533294678,8
batch_5_1,12.793623685836792,8
batch_5_2,12.169941663742065,8
batch_5_3,12.702855587005615,8
batch_5_4,12.447379350662231,8
batch_5_5,12.642289638519287,8
batch_5_6,12.281111240386963,8
batch_5_7,12.292969465255737,8
batch_5_8,13.189761877059937,8
batch_5_9,13.788927555084229,8
batch_5_10,13.267899990081787,8
batch_5_11,12.813773393630981,8
batch_5_12,12.775821685791016,8
batch_5_13,14.40742301940918,8
batch_5_14,13.329254627227783,8
batch_5_15,13.026934385299683,8
batch_5_16,14.10288143157959,8
batch_5_17,13.01751971244812,8
batch_5_18,12.750843286514282,8
batch_5_19,14.178634643554688,8
batch_5_20,11.513306379318237,4
batch_6_0,12.765085697174072,8
batch_6_1,11.6479811668396,8
batch_6_2,12.891170024871826,8
batch_6_3,11.70723557472229,8
batch_6_4,13.103368043899536,8
batch_6_5,12.516950130462646,8
batch_6_6,12.494227647781372,8
batch_6_7,11.915631771087646,8
batch_6_8,13.178598880767822,8
batch_6_9,13.061193704605103,8
batch_6_10,12.899520635604858,8
batch_6_11,14.780664443969727,8
batch_6_12,12.27530837059021,8
batch_6_13,13.313291549682617,8
batch_6_14,13.11740779876709,8
batch_6_15,13.076248168945312,8
batch_6_16,13.747586727142334,8
batch_6_17,12.849859237670898,8
batch_6_18,12.421808004379272,8
batch_6_19,12.985225915908813,8
batch_6_20,11.742202281951904,4
batch_7_0,12.857776641845703,8
batch_7_1,13.854435920715332,8
batch_7_2,14.400620698928833,8
batch_7_3,12.790236234664917,8
batch_7_4,12.936622142791748,8
batch_7_5,12.694695949554443,8
batch_7_6,11.780097961425781,8
batch_7_7,12.502135992050171,8
batch_7_8,13.022631406784058,8
batch_7_9,13.193607568740845,8
batch_7_10,12.993382930755615,8
batch_7_11,13.15204668045044,8
batch_7_12,12.930061101913452,8
batch_7_13,12.917317867279053,8
batch_7_14,13.670281171798706,8
batch_7_15,12.529344320297241,8
batch_7_16,14.17552375793457,8
batch_7_17,12.693776369094849,8
batch_7_18,12.871285438537598,8
batch_7_19,13.035297393798828,8
batch_7_20,12.074975490570068,4
batch_8_0,13.629894256591797,8
batch_8_1,13.833144664764404,8
batch_8_2,12.02823805809021,8
batch_8_3,12.409258365631104,8
batch_8_4,13.233284711837769,8
batch_8_5,12.886000633239746,8
batch_8_6,12.349042415618896,8
batch_8_7,13.556130170822144,8
batch_8_8,13.730670928955078,8
batch_8_9,13.639328718185425,8
batch_8_10,13.315634965896606,8
batch_8_11,12.98779034614563,8
batch_8_12,12.599348545074463,8
batch_8_13,12.77912449836731,8
batch_8_14,13.27640700340271,8
batch_8_15,12.848538637161255,8
batch_8_16,13.94362187385559,8
batch_8_17,12.883718490600586,8
batch_8_18,12.48102855682373,8
batch_8_19,13.368700504302979,8
batch_8_20,11.028001546859741,4
batch_9_0,13.614392518997192,8
batch_9_1,12.265215635299683,8
batch_9_2,12.807369232177734,8
batch_9_3,12.026452779769897,8
batch_9_4,13.036977052688599,8
batch_9_5,12.28157639503479,8
batch_9_6,12.821431398391724,8
batch_9_7,12.239303827285767,8
batch_9_8,13.174538612365723,8
batch_9_9,13.413505792617798,8
batch_9_10,12.841419696807861,8
batch_9_11,13.570559024810791,8
batch_9_12,12.299689054489136,8
batch_9_13,13.451050996780396,8
batch_9_14,13.189584970474243,8
batch_9_15,13.220521211624146,8
batch_9_16,14.370969295501709,8
batch_9_17,12.786967992782593,8
batch_9_18,12.582626104354858,8
