task_id,batch_time,samples_in_batch
batch_0_0,11.04683232307434,8
batch_0_1,11.046236276626587,8
batch_0_2,11.161787509918213,8
batch_0_3,10.884138822555542,8
batch_0_4,11.456042528152466,8
batch_0_5,11.122682332992554,8
batch_0_6,10.97072696685791,8
batch_0_7,11.030590295791626,8
batch_0_8,11.904771566390991,8
batch_0_9,11.932509899139404,8
batch_0_10,11.517480850219727,8
batch_0_11,12.059915781021118,8
batch_0_12,11.04978084564209,8
batch_0_13,11.75014066696167,8
batch_0_14,12.059664964675903,8
batch_0_15,11.691149473190308,8
batch_0_16,13.184844732284546,8
batch_0_17,11.218076944351196,8
batch_0_18,11.208591222763062,8
batch_0_19,11.665027856826782,8
batch_0_20,10.736293315887451,4
batch_1_0,10.939955711364746,8
batch_1_1,11.005066156387329,8
batch_1_2,11.06849980354309,8
batch_1_3,10.915523290634155,8
batch_1_4,11.411683797836304,8
batch_1_5,11.060373783111572,8
batch_1_6,10.959868907928467,8
batch_1_7,11.0165696144104,8
batch_1_8,11.90264368057251,8
batch_1_9,11.901423931121826,8
batch_1_10,11.504433393478394,8
batch_1_11,12.055331707000732,8
batch_1_12,11.139684200286865,8
batch_1_13,11.863078355789185,8
batch_1_14,12.069070816040039,8
batch_1_15,11.681553602218628,8
batch_1_16,13.179999589920044,8
batch_1_17,11.209477424621582,8
batch_1_18,11.203109741210938,8
batch_1_19,11.664593696594238,8
batch_1_20,10.744139194488525,4
batch_2_0,10.903079509735107,8
batch_2_1,10.91432809829712,8
batch_2_2,11.014713287353516,8
batch_2_3,10.867066144943237,8
batch_2_4,11.360993385314941,8
batch_2_5,10.9448401927948,8
batch_2_6,10.838526964187622,8
batch_2_7,10.87287425994873,8
batch_2_8,11.833790302276611,8
batch_2_9,11.817742347717285,8
batch_2_10,11.310918092727661,8
batch_2_11,11.993943214416504,8
batch_2_12,10.789583683013916,8
batch_2_13,11.624052286148071,8
batch_2_14,11.958609104156494,8
batch_2_15,11.453762292861938,8
batch_2_16,13.171504497528076,8
batch_2_17,10.913312911987305,8
batch_2_18,10.886070728302002,8
batch_2_19,11.481001138687134,8
batch_2_20,10.409871816635132,4
batch_3_0,10.586500406265259,8
batch_3_1,10.69306492805481,8
batch_3_2,10.7571382522583,8
batch_3_3,10.624991655349731,8
batch_3_4,11.17607307434082,8
batch_3_5,10.758007049560547,8
batch_3_6,10.661979913711548,8
batch_3_7,10.68589973449707,8
batch_3_8,11.75139570236206,8
batch_3_9,11.793336868286133,8
batch_3_10,11.262391328811646,8
batch_3_11,11.992289543151855,8
batch_3_12,10.7416353225708,8
batch_3_13,11.554227113723755,8
batch_3_14,11.942292213439941,8
batch_3_15,11.440820932388306,8
batch_3_16,13.17049765586853,8
batch_3_17,10.91373085975647,8
batch_3_18,10.94315242767334,8
batch_3_19,11.497665882110596,8
batch_3_20,10.444334030151367,4
batch_4_0,10.602180242538452,8
batch_4_1,10.662172794342041,8
batch_4_2,10.751470804214478,8
batch_4_3,10.60716700553894,8
batch_4_4,11.158921957015991,8
batch_4_5,10.748053312301636,8
batch_4_6,10.63373351097107,8
batch_4_7,10.674715518951416,8
batch_4_8,11.772560596466064,8
batch_4_9,11.783459424972534,8
batch_4_10,11.292544841766357,8
batch_4_11,11.949800252914429,8
batch_4_12,10.707586288452148,8
batch_4_13,11.567133903503418,8
batch_4_14,11.937528610229492,8
batch_4_15,11.453225135803223,8
batch_4_16,13.190696954727173,8
batch_4_17,10.893102169036865,8
batch_4_18,10.871559381484985,8
batch_4_19,11.46316385269165,8
batch_4_20,10.407681465148926,4
batch_5_0,10.551785707473755,8
batch_5_1,10.642425775527954,8
batch_5_2,10.743741750717163,8
batch_5_3,10.592859029769897,8
batch_5_4,11.178123474121094,8
batch_5_5,10.776703596115112,8
batch_5_6,10.649940490722656,8
batch_5_7,10.70433759689331,8
batch_5_8,11.77151083946228,8
batch_5_9,11.775763750076294,8
batch_5_10,11.259761571884155,8
batch_5_11,11.952295780181885,8
batch_5_12,10.738374948501587,8
batch_5_13,11.565623998641968,8
batch_5_14,11.942266702651978,8
batch_5_15,11.45474648475647,8
batch_5_16,13.199722290039062,8
batch_5_17,10.950463771820068,8
batch_5_18,10.903805255889893,8
batch_5_19,11.476681470870972,8
batch_5_20,10.401936769485474,4
batch_6_0,10.580992698669434,8
batch_6_1,10.670381546020508,8
batch_6_2,10.755649328231812,8
batch_6_3,10.726298093795776,8
batch_6_4,11.198015213012695,8
batch_6_5,10.78428053855896,8
batch_6_6,10.649003744125366,8
batch_6_7,10.699121713638306,8
batch_6_8,11.773941993713379,8
batch_6_9,11.797234058380127,8
batch_6_10,11.305972337722778,8
batch_6_11,11.978890419006348,8
batch_6_12,10.76321005821228,8
batch_6_13,11.585723161697388,8
batch_6_14,11.948281526565552,8
batch_6_15,11.478317975997925,8
batch_6_16,13.193002939224243,8
batch_6_17,10.970221042633057,8
batch_6_18,10.956175327301025,8
batch_6_19,11.466178894042969,8
batch_6_20,10.469622135162354,4
batch_7_0,10.599682331085205,8
batch_7_1,10.664859771728516,8
batch_7_2,10.760398387908936,8
batch_7_3,10.588592529296875,8
batch_7_4,11.200866222381592,8
batch_7_5,10.743426084518433,8
batch_7_6,10.639436483383179,8
batch_7_7,10.84789776802063,8
batch_7_8,11.770491123199463,8
batch_7_9,11.7699294090271,8
batch_7_10,11.297581434249878,8
batch_7_11,11.959100484848022,8
batch_7_12,10.795935153961182,8
batch_7_13,11.594834089279175,8
batch_7_14,11.948009014129639,8
batch_7_15,11.476136445999146,8
batch_7_16,13.194761991500854,8
batch_7_17,11.003171443939209,8
batch_7_18,11.089156150817871,8
batch_7_19,11.50321102142334,8
batch_7_20,10.562154531478882,4
batch_8_0,10.60498571395874,8
batch_8_1,10.679446935653687,8
batch_8_2,10.842849731445312,8
batch_8_3,10.695101499557495,8
batch_8_4,11.18864631652832,8
batch_8_5,10.794233798980713,8
batch_8_6,10.677025079727173,8
batch_8_7,10.707669496536255,8
batch_8_8,11.772979497909546,8
batch_8_9,11.79063606262207,8
batch_8_10,11.295349597930908,8
batch_8_11,11.964816331863403,8
batch_8_12,10.792913913726807,8
batch_8_13,11.584217071533203,8
batch_8_14,11.940956115722656,8
batch_8_15,11.464107990264893,8
batch_8_16,13.189608573913574,8
batch_8_17,10.939035177230835,8
batch_8_18,10.900053977966309,8
batch_8_19,11.490600109100342,8
batch_8_20,10.426904439926147,4
batch_9_0,10.581295728683472,8
batch_9_1,10.675416469573975,8
batch_9_2,10.792170286178589,8
batch_9_3,10.627306938171387,8
batch_9_4,11.196553230285645,8
batch_9_5,10.753883123397827,8
batch_9_6,10.664341926574707,8
batch_9_7,10.68713116645813,8
batch_9_8,11.778519868850708,8
batch_9_9,11.78019642829895,8
batch_9_10,11.261904001235962,8
batch_9_11,11.943755388259888,8
batch_9_12,10.74049973487854,8
batch_9_13,11.560367107391357,8
batch_9_14,11.93178391456604,8
batch_9_15,11.463247060775757,8
batch_9_16,13.192594051361084,8
batch_9_17,10.893265724182129,8
batch_9_18,10.8857901096344,8
batch_9_19,11.459433317184448,8
batch_9_20,10.486400127410889,4
batch_10_0,10.657530546188354,8
batch_10_1,10.709844827651978,8
batch_10_2,10.905620336532593,8
batch_10_3,10.659702777862549,8
batch_10_4,11.282081604003906,8
batch_10_5,10.874732971191406,8
batch_10_6,10.742553949356079,8
batch_10_7,10.78029179573059,8
batch_10_8,11.813706636428833,8
batch_10_9,11.842045307159424,8
batch_10_10,11.366899967193604,8
batch_10_11,11.960460424423218,8
batch_10_12,10.784301280975342,8
batch_10_13,11.638094663619995,8
batch_10_14,11.992666959762573,8
batch_10_15,11.477193593978882,8
batch_10_16,13.188853740692139,8
batch_10_17,10.9731924533844,8
batch_10_18,11.017452716827393,8
batch_10_19,11.374703884124756,8
batch_10_20,10.507980585098267,4
batch_11_0,10.61851692199707,8
batch_11_1,10.734585285186768,8
batch_11_2,10.918435335159302,8
batch_11_3,10.76211953163147,8
batch_11_4,11.095434188842773,8
batch_11_5,10.740219593048096,8
batch_11_6,10.655630826950073,8
batch_11_7,10.668079376220703,8
batch_11_8,11.548542261123657,8
batch_11_9,11.551710844039917,8
batch_11_10,11.191224336624146,8
batch_11_11,11.71470856666565,8
batch_11_12,10.758712530136108,8
batch_11_13,11.413440227508545,8
batch_11_14,11.703406572341919,8
batch_11_15,11.32992172241211,8
batch_11_16,12.79343843460083,8
batch_11_17,10.936367988586426,8
batch_11_18,10.903078079223633,8
batch_11_19,11.33835482597351,8
batch_11_20,10.42842411994934,4
batch_12_0,10.59272289276123,8
batch_12_1,10.664412498474121,8
batch_12_2,10.756566524505615,8
batch_12_3,10.616210222244263,8
batch_12_4,11.111068725585938,8
batch_12_5,10.782098770141602,8
batch_12_6,10.664913654327393,8
batch_12_7,10.694828271865845,8
batch_12_8,11.568896055221558,8
batch_12_9,11.580817937850952,8
batch_12_10,11.188136339187622,8
batch_12_11,11.716090440750122,8
batch_12_12,10.734862565994263,8
batch_12_13,11.415489673614502,8
batch_12_14,11.707570314407349,8
batch_12_15,11.334391832351685,8
batch_12_16,12.79349160194397,8
batch_12_17,10.900410413742065,8
batch_12_18,10.889109373092651,8
batch_12_19,11.31872820854187,8
batch_12_20,10.347391128540039,4
batch_13_0,10.501400232315063,8
batch_13_1,10.516704082489014,8
batch_13_2,10.577540159225464,8
